wdid,name,position
Q50365049,Abiy Ahmed,Prime Minister of Ethiopia
Q16728486,Demeke Mekonnen,Deputy Prime Minister of Ethiopia
Q16728486,Demeke Mekonnen,Minister of Foreign Affairs
Q109536191,Abraham Belay,Minister of Defense
Q66309846,Ahmed Shide,Minister of Finance
"",Gedion Timothewos,Minister of Justice
"",Binalf Andualem,Minister of Peace
Q4891781,Berhanu Nega,Minister of Education
Q57898816,Lia Tadesse,Minister of Health
"",Belete Molla,Minister of Innovation and Technology
Q62123939,Dagmawit Moges,Minister of Transport and Logistics
"",Melaku Alebel,Minister of Industry
"",Gebremeskel Chala,Minister of Trade and Regional Integration
"",La'qe Ayalew,Minister of Revenues
Q104794313,Fitsum Assefa,Minister of Planning and Development
"",Habtamu Itefa,Minister of Water and Energy
Q56485727,Takele Uma Banti,Minister of Mines and Petroleum
"",Nassise Chali,Minister of Tourism
"",Omer Husen,Minister of Agriculture
Q60852478,Aisha Mohammed Mussa,Minister of Irrigation and Lowland Areas Development
"",Chaltu Sani,Minister of Urbanization and Infrastructure
Q55238035,Muferiat Kamil,Minister of Labour and Skills Development
Q104822337,Ergoge Tesfaye,Minister of Women and Social Affairs
"",Kejella Merdassa,Minister of Culture and Sport
